name	type_id	id	lat	lng	page
上岛咖啡(丰管路店)	1	29520658	39.857976	116.29925	609
VOYAGE COFFEE(798艺术区店)	1	29595630	39.982709	116.495965	609
涮烤鲜Mad for Polly	1	29575886	39.924502	116.601224	609
三元梅园(华润五彩城购物中心店)	1	29567290	40.030389	116.334474	610
门头沟圈门	3	7644539	39.929484	116.060018	610
可可树甜品(雍和宫店)	1	29540766	39.950418	116.415909	610
金手勺	1	29465134	39.833491	116.658133	610
回味冒菜(远洋山水店)	1	29447682	39.898124	116.243606	610
辣椒很忙	1	29573058	39.928401	116.496871	610
杨铭宇黄焖鸡米饭	1	29385190	40.138777	117.11151	610
口口香川味馆(乐家店)	1	29510758	39.79976	116.33268	610
味多美(东单店)	1	29549382	39.91123	116.417775	610
留下湖南菜馆(槐房万达店)	1	29590266	39.813792	116.368295	610
味道潮汕小馆(安宁庄店)	1	29566270	40.04063	116.32953	610
蜜菓(万达广场石景山店)	1	29439298	39.90584	116.226147	610
湘聚居湖南菜主题餐厅	1	29464710	39.905131	116.641943	610
老北京碳锅涮肉爆肚馆	1	29533026	39.947436	116.393642	610
南城香(沙子口店)	1	29553226	39.865243	116.403225	610
洞庭食府	1	29562726	39.962505	116.310681	611
真功夫(东单协和店)	1	29551754	39.913185	116.418206	611
邱德拔体育馆	5	6627946	39.988484983374	116.31520010644	611
DearAllCafe贝窝西餐厅	1	29468142	39.910736	116.685144	611
驴出没(生物医药基地店)	1	29501726	39.686071	116.322498	611
老刘家涮肉烤肉	1	29546158	39.943275	116.418127	611
蘭芳園(枫蓝国际购物中心店)	1	29567830	39.953404	116.356505	611
东来顺(成寿寺路店)	1	15467376	39.84352	116.44631	611
秘辣(慈云寺店)	1	29583546	39.915399	116.498626	611
俏江南(恒基中心店)	1	29551410	39.907103	116.428281	611
马兰拉面(花园北路店)	1	29556506	39.981158	116.358853	611
呼啦啦韩式烤肉(田村路店)	1	29582210	39.932754	116.221918	611
张记一枝花羊汤(广内大街店)	1	29533114	39.88827	116.3714	611
如意馄饨(潞河店)	1	29466486	39.902889	116.657801	611
庆丰包子铺(北营房店)	1	15435975	39.926322	116.349233	611
粤海湘天贵宾楼	1	29531666	39.919686	116.36029	612
京北第一漂	5	7650	40.620384	116.696201	612
唐记排骨(龙湖天街店)	1	29503638	39.686543	116.319746	612
摩提工房(东方广场店)	1	29548770	39.909769	116.412051	612
社会主义新农村	1	29436414	40.095788	116.693965	612
晋一碗刀削面馆	1	29556134	40.03432	116.3726	612
德仁居烤鸭店	1	828187	39.982362	116.470161	612
望京小腰烧烤(通州店)	1	29467442	39.88662	116.64391	612
陳老七麻辣火锅	1	29406538	39.71058	116.06216	612
五福兴膳烤鸭店	1	29562806	39.897789	116.333866	612
原麦山丘(三里屯店)	1	29592386	39.934223554905	116.45500991554	612
科力淮扬村(和平里店)	1	29552458	39.958846	116.420544	612
阿田大虾(土桥店)	1	29465598	39.871742	116.698214	612
君达小吃(金顶街店)	1	29447738	39.932526	116.169103	612
Santa	1	29571626	39.94364	116.45244	612
京八珍(月坛南街店)	1	29530894	39.914045	116.346947	613
百年食府(亦庄店)	1	29503958	39.811613	116.507263	613
酷圣石(燕莎奥特莱斯店)	1	29577614	39.878029663561	116.48913813818	613
静真轩餐厅	1	29408698	39.63817	116.06515	613
第1佳大鸡排(地铁亦庄桥店)	1	29499682	39.801505	116.479079	613
清华大学桃李园餐厅	1	29564226	40.01083	116.32609	613
海风吹·海南美食(远洋光华国际店)	1	29591610	39.915566	116.454395	613
庆丰包子铺(白塔寺店)	1	6946424	39.924014	116.3654	613
护国寺小吃(东湖湾店)	1	15435594	40.008146	116.459969	613
湘本味(世代百货来广营北街店)	1	29573042	40.04215	116.42204	613
吴裕泰茶庄(北新桥总店)	5	22713	39.938947528434	116.41710680724	613
陕西巷	3	22081	39.891784667969	116.38981628418	613
李先生牛肉面(良乡拱辰南大街餐厅)	1	29409310	39.730223	116.141799	613
醉唐轩(盈创动力店)	1	29555854	40.054423	116.301499	613
小时候	1	29503358	39.737493	116.341801	613
田老师红烧肉(东花市大街店)	1	29550070	39.897757	116.435075	614
金手勺	1	29489558	39.808844	116.455922	614
北京鼎珍轩清真菜馆	1	29498194	39.78202	116.33679	614
和庆斋阳坊涮羊肉(后沙峪店)	1	29437322	40.099728	116.544433	614
棒约翰比萨(凯基伦店)	1	29573842	39.993883	116.426667	614
西北汉子(三元桥店)	1	29573902	39.960342	116.459926	614
星巴克(北京东方广场西店)	1	29550882	39.909439031256	116.41191063045	614
等待戈多waiting for GOdot(交道口店)	1	29553570	39.94058	116.414732	614
Oumuni韩式炸鸡店(天通苑家乐福店)	1	29486570	40.058817	116.415578	614
庆丰包子铺(美丽园店)	1	15435897	39.937362	116.276241	614
一品生煎	1	29566242	39.98663	116.31653	614
紫英缘东北炒烤肉	1	29436674	40.043719	116.59234	614
三兄弟铜锅涮	1	13731334	39.94151	116.430172	614
味多美(国贸店)	1	29574286	39.906791	116.463172	614
美拉德小萨BBQ(丽都店)	1	29573022	39.974982	116.480868	614
百万顺炭火烤羊腿(鲁谷24小时店)	1	29447398	39.905219	116.229226	615
雅景意大利餐厅(燕山大酒店店)	1	29565054	39.97008	116.32232	615
大阪亭拉面(祥云小镇店)	1	29438562	40.088072	116.537133	615
异特麻辣香锅(幸福西街店)	1	29437038	40.13377921273	116.65092060242	615
正宗湘菜妈妈土钵菜	1	29437770	40.12952	116.64723	615
宴遇春饼烤鸭.私房菜	1	29517898	39.861288	116.38716	615
盒马(三里屯店)	1	29577454	39.932378637304	116.45379985011	615
桂在坚食	1	29553606	39.921796	116.415695	615
好伦哥(六里桥店)	1	29522522	39.879856	116.312243	615
一手店(枣园店)	1	29500594	39.74951532	116.3326294	615
老诚一锅(通州店)	1	29465238	39.928799	116.67201	615
专点生煎包	1	29516634	39.805198	116.418706	615
圆通塔寺	3	34943100	40.650842	117.275075	615
阳坊涮羊肉(苹果园店)	1	29448534	39.934692	116.18913	615
咂七咂八潮粤小馆(西单大悦城店)	1	29531638	39.91078	116.373511	615
京百万烤鸭(天通北苑店)	1	29484454	40.07769	116.43993	616
渝久隆巫山烤全鱼(洋桥店)	1	6946406	39.842981	116.38845	616
昕雅苑书馆咖啡	1	29558102	40.040701	116.33275	616
西苑饭店清真餐厅	1	29558762	39.93739	116.331187	616
耀莱成龙国际影城(五棵松店)	5	9430779	39.913175812692	116.27858289308	616
老诚一锅(回龙观店)	1	29482922	40.08166	116.321568	616
西里海鲜望京小腰(顺义店)	1	29438666	40.125275	116.645823	616
草场地艺术区	3	833971	40.000651963896	116.50409425795	616
一茶一坐(北京华联农大南路店)	1	29566966	40.028232	116.311569	616
本宗铁板烧(百盛购物中心复兴门店)	1	29535954	39.90869	116.35856	616
燃灯佛舍利塔	3	6628198	39.915652	116.665832	616
鸿运天外天烤鸭店(铁道大厦店)	1	15435513	39.900399	116.324118	616
天坛医院食堂	1	29548906	39.87664	116.40196	616
煲餐一炖	1	29506258	39.764022	116.332267	616
丽晶酒店金宝99餐厅	1	29551450	39.916225	116.418864	616
1958啤酒坊	1	29567374	39.936759	116.329586	617
悦成创意铁板烧	1	29438126	40.126454	116.670386	617
蓬蒿剧场	5	105031	39.9356843205	116.40585462202	617
汉釜宫韩式烤肉(绿地缤纷城店)	1	29409450	39.756882	116.160368	617
巫山碳烤全鱼(马家堡店)	1	29512082	39.836322	116.371208	617
金凤成祥(沙河店)	1	29481902	40.123564	116.268504	617
巴黎贝甜(鸿坤购物中心店)	1	29586234	39.79134	116.339839	617
西部马华牛肉面(魏公村店)	1	29565582	39.955016	116.319142	617
八喜为(灵通观店)	1	29577082	39.903985	116.448045	617
大福驴肉	1	29434630	40.096381	116.664641	617
袁崇焕祠墓	3	6627883	39.894983	116.438134	617
金凤成祥(翠微大厦店)	1	29564910	39.907991	116.303073	617
印巷小馆(凯德MALL店)	1	29567410	39.912068	116.303376	617
韩味宫烤肉(通胡大街店)	1	29466890	39.914126	116.687744	617
巴黎贝甜(五道口店)	1	161338	39.922557830811	116.44944763184	617
上岛咖啡(美丽园店)	1	29560890	39.93821	116.27518	618
阳坊胜利涮羊肉(北苑家园店)	1	29577634	40.039449	116.429824	618
杨国福麻辣烫(同济南路店)	1	29503514	39.771636	116.538143	618
祥记(宣武门店)	1	29538098	39.900115	116.360554	618
庆丰包子铺(右安门外大街店)	1	15436152	39.859724	116.364439	618
真功夫(东鼎店)	1	29535538	39.937551	116.3414	618
妈咪咖啡西餐厅	1	29466046	39.920303	116.67717	618
佳源海鲜饺子城	1	29529374	39.867146	116.359705	618
蜀山竹海酒楼	1	29519462	39.845511	116.419529	618
